2020-09-09 13:38:49,067 	 DEBUG 	 App [main] 	 ----------------------------------------------Starting Qawjs............................................

 	 2020-09-09 14:03:05,858 	 DEBUG 	 PlatformDependent0 [main] 	 -Dio.netty.noUnsafe: false
 	 2020-09-09 14:03:05,859 	 DEBUG 	 PlatformDependent0 [main] 	 Java version: 8
 	 2020-09-09 14:03:05,861 	 DEBUG 	 PlatformDependent0 [main] 	 sun.misc.Unsafe.theUnsafe: available
 	 2020-09-09 14:03:05,863 	 DEBUG 	 PlatformDependent0 [main] 	 sun.misc.Unsafe.copyMemory: available
 	 2020-09-09 14:03:05,864 	 DEBUG 	 PlatformDependent0 [main] 	 java.nio.Buffer.address: available
 	 2020-09-09 14:03:05,866 	 DEBUG 	 PlatformDependent0 [main] 	 direct buffer constructor: available
 	 2020-09-09 14:03:05,867 	 DEBUG 	 PlatformDependent0 [main] 	 java.nio.Bits.unaligned: available, true
 	 2020-09-09 14:03:05,868 	 DEBUG 	 PlatformDependent0 [main] 	 jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9
 	 2020-09-09 14:03:05,868 	 DEBUG 	 PlatformDependent0 [main] 	 java.nio.DirectByteBuffer.<init>(long, int): available
 	 2020-09-09 14:03:05,868 	 DEBUG 	 PlatformDependent [main] 	 sun.misc.Unsafe: available
 	 2020-09-09 14:03:05,869 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
 	 2020-09-09 14:03:05,869 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.bitMode: 64 (sun.arch.data.model)
 	 2020-09-09 14:03:05,870 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.maxDirectMemory: 1832910848 bytes
 	 2020-09-09 14:03:05,870 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.uninitializedArrayAllocationThreshold: -1
 	 2020-09-09 14:03:05,871 	 DEBUG 	 CleanerJava6 [main] 	 java.nio.ByteBuffer.cleaner(): available
 	 2020-09-09 14:03:05,871 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.noPreferDirect: false
 	 2020-09-09 14:03:05,880 	 DEBUG 	 PlatformDependent$Mpsc [main] 	 org.jctools-core.MpscChunkedArrayQueue: available
 	 2020-09-09 14:03:05,925 	 DEBUG 	 JdkSslContext [main] 	 Default protocols (JDK): [TLSv1.2, TLSv1.1, TLSv1] 
